step,mode,cosine_similarity,mae,mse,kl_divergence,baseline_argmax_token,test_argmax_token,argmax_match
0,baseline,0.9999974966049194,0.0,0.0,0.0,5087,5087,1
1,baseline,0.9999970197677612,0.0,0.0,0.0,5087,5087,1
2,baseline,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
3,baseline,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
4,baseline,0.999997615814209,0.0,0.0,0.0,5087,5087,1
5,baseline,0.9999963045120239,0.0,0.0,0.0,5087,5087,1
6,baseline,0.999997615814209,0.0,0.0,0.0,5087,5087,1
7,baseline,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
0,int8,0.9999974966049194,0.0,0.0,0.0,5087,5087,1
1,int8,0.9999970197677612,0.0,0.0,0.0,5087,5087,1
2,int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
3,int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
4,int8,0.999997615814209,0.0,0.0,0.0,5087,5087,1
5,int8,0.9999963045120239,0.0,0.0,0.0,5087,5087,1
6,int8,0.999997615814209,0.0,0.0,0.0,5087,5087,1
7,int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
0,blocked_int8,0.9999974966049194,0.0,0.0,0.0,5087,5087,1
1,blocked_int8,0.9999970197677612,0.0,0.0,0.0,5087,5087,1
2,blocked_int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
3,blocked_int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
4,blocked_int8,0.999997615814209,0.0,0.0,0.0,5087,5087,1
5,blocked_int8,0.9999963045120239,0.0,0.0,0.0,5087,5087,1
6,blocked_int8,0.999997615814209,0.0,0.0,0.0,5087,5087,1
7,blocked_int8,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
0,adaptive_recency_k16,0.9999974966049194,0.0,0.0,0.0,5087,5087,1
1,adaptive_recency_k16,0.9999970197677612,0.0,0.0,0.0,5087,5087,1
2,adaptive_recency_k16,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
3,adaptive_recency_k16,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
4,adaptive_recency_k16,0.999997615814209,0.0,0.0,0.0,5087,5087,1
5,adaptive_recency_k16,0.9999963045120239,0.0,0.0,0.0,5087,5087,1
6,adaptive_recency_k16,0.999997615814209,0.0,0.0,0.0,5087,5087,1
7,adaptive_recency_k16,0.9999950528144836,0.0,0.0,0.0,5087,5087,1
